SALEYEAR,SALETYPE,SALECODE,SALEDATE,BOOK,DAY,HIP,HIPNUM,HORSE,CHORSE,RATING,TATTOO,DATEFOAL,AGE,COLOR,SEX,GAIT,TYPE,RECORD,ET,ELIG,SIRE,CSIRE,DAM,CDAM,SIREOFDAM,CSIREOFDAM,DAMOFDAM,CDAMOFDAM,DAMTATT,DAMYOF,DDAMTATT,BREDTO,LASTBRED,CONLNAME,CONSNO,PEMCODE,PURFNAME,PURLNAME,SBCITY,SBSTATE,SBCOUNTRY,PRICE,CURRENCY,URL,NFFM,PRIVATESALE,BREED,YEARFOAL
2021.0,Y,KEESEPT21,2021-09-13,1,1,1,1,Supermajority,Supermajority,,,,,CH,C,,Y,,,,Justify,Justify,I Bet Toni Knows,I Bet Toni Knows,,,,,,,,,,"Bluegrass Thoroughbred Services Inc., Agent II ",,,,Downton Walk Bloodstock,,,,200000,,,,,T,
2021.0,Y,KEESEPT21,2021-09-13,1,1,2,2,Juniper's Moon,Juniper's Moon,,,,,CH,F,,Y,,,,Galileo (IRE),Galileo (IRE),I'm a Chatterbox,I'm a Chatterbox,,,,,,,,,,"Blandford Stud (Padraig Campion), Agent ",,,,Jr. International Holdings LLC,,,,725000,,,,,T,
2021.0,Y,KEESEPT21,2021-09-13,1,1,3,3,Union Express,Union Express,,,,,B    ,C,,Y,,,,Accelerate,Accelerate,I'm a Flake,I'm a Flake,,,,,,,,,,Dixiana Farms LLC ,,,,Mayberry Farm,,,,300000,,,,,T,
2021.0,Y,KEESEPT21,2021-09-13,1,1,4,4,Guns n' Graces,Guns n' Graces,,,,,DB/BR,F,,Y,,,,Gun Runner,Gun Runner,Imposing Grace,Imposing Grace,,,,,,,,,,"Beau Lane Bloodstock, Agent II ",,,,"Mike Ryan, Agent",,,,375000,,,,,T,
2021.0,Y,KEESEPT21,2021-09-13,1,1,5,5,Gunner Bay,Gunner Bay,,,,,B,C,,Y,,,,Gun Runner,Gun Runner,Indian Bay,Indian Bay,,,,,,,,,,Hinkle Farms ,,,,"West Bloodstock, Agent for Robert & Lawana Low",,,,250000,,,,,T,
2021.0,Y,KEESEPT21,2021-09-13,1,1,6,6,Indian Mischief,Indian Mischief,,,,,DB/BR,C,,Y,,,,Into Mischief,Into Mischief,Indian Rush,Indian Rush,,,,,,,,,,"Paramount Sales, Agent XXXI ",,,,"R.N.A. (340,000)",,,,,,,,,T,
2021.0,Y,KEESEPT21,2021-09-13,1,1,7,7,Mo Captain,Mo Captain,,,,,DB/BR,C,,Y,,,,Uncle Mo,Uncle Mo,Inside Passage,Inside Passage,,,,,,,,,,"Glennwood Farm Inc., Agent ",,,,"R.N.A. (145,000)",,,,,,,,,T,
2021.0,Y,KEESEPT21,2021-09-13,1,1,8,8,Carmel Road,Carmel Road,,,,,B,C,,Y,,,,Quality Road,Quality Road,Inspired,Inspired,,,,,,,,,,"Bridie Harrison, Agent for Peter E. Blum Thoroughbreds ",,,,"Donato Lanni, Agt. for SF Bldstk/Starlight/Madaket",,,,650000,,,,,T,
2021.0,Y,KEESEPT21,2021-09-13,1,1,9,9,Naval Empire,Naval Empire,,,,,DB/BR,F,,Y,,,,Empire Maker,Empire Maker,In the Navy Now,In the Navy Now,,,,,,,,,,"Betz Thoroughbreds, Inc., Agent ",,,,Out,,,,0,,,,,T,
2021.0,Y,KEESEPT21,2021-09-13,1,1,10,10,Falk,Falk,,,,,DB/BR,C,,Y,,,,Constitution,Constitution,Invitation,Invitation,,,,,,,,,,"Taylor Made Sales Agency, Agent CXLVI ",,,,Out,,,,0,,,,,T,
