SALEYEAR,SALETYPE,SALECODE,SALEDATE,BOOK,DAY,HIP,HIPNUM,HORSE,CHORSE,RATING,TATTOO,DATEFOAL,AGE,COLOR,SEX,GAIT,TYPE,RECORD,ET,ELIG,SIRE,CSIRE,DAM,CDAM,SIREOFDAM,CSIREOFDAM,DAMOFDAM,CDAMOFDAM,DAMTATT,DAMYOF,DDAMTATT,BREDTO,LASTBRED,CONLNAME,CONSNO,PEMCODE,PURFNAME,PURLNAME,SBCITY,SBSTATE,SBCOUNTRY,PRICE,CURRENCY,URL,NFFM,PRIVATESALE,BREED,YEARFOAL
2020,Y,KEESEPT20,2020-09-13,1,1,1,1,Lenni Girl,Lenni Girl,,,,,DB/BR,F,,Y,,,,Candy Ride (ARG),Candy Ride (ARG),Unicorn Girl,Unicorn Girl,,,,,,,,,,"Hill 'n' Dale Sales Agency, Agent ",,,,Out,,,,0,,,,,T,
2020,Y,KEESEPT20,2020-09-13,1,1,2,2,Paradise Promise,Paradise Promise,,,,,GR/RO,F,,Y,,,,Arrogate,Arrogate,Uno Mas Promesa,Uno Mas Promesa,,,,,,,,,,"Taylor Made Sales Agency, Agent XCIII ",,,,"R.N.A. (170,000)",,,,,,,,,T,
2020,Y,KEESEPT20,2020-09-13,1,1,3,3,Under the Stars,Under the Stars,,,,,B,F,,Y,,,,Pioneerof the Nile,Pioneerof the Nile,Untouched Talent,Untouched Talent,,,,,,,,,,"Four Star Sales, Agent ",,,,Out,,,,0,,,,,T,
2020,Y,KEESEPT20,2020-09-13,1,1,4,4,Star of India,Star of India,,,,,B,F,,Y,,,,Medaglia d'Oro,Medaglia d'Oro,Up (IRE),Up (IRE),,,,,,,,,,"Lane's End, Agent ",,,,"R.N.A. (575,000)",,,,,,,,,T,
2020,Y,KEESEPT20,2020-09-13,1,1,5,5,Triple Entente,Triple Entente,,,,,DB/BR,F,,Y,,,,War Front,War Front,Upperline,Upperline,,,,,,,,,,"Taylor Made Sales Agency, Agent for Town & Country Horse Farms, LLC",,,,"Ben McElroy, Agent for C.J. Thoroughbreds",,,,335000,,,,,T,
2020,Y,KEESEPT20,2020-09-13,1,1,6,6,Presidential,Presidential,,,,,B,C,,Y,,,,Pioneerof the Nile,Pioneerof the Nile,Uptown Twirl,Uptown Twirl,,,,,,,,,,"Taylor Made Sales Agency, Agent CCXVIII ",,,,Courtlandt Farm,,,,625000,,,,,T,
2020,Y,KEESEPT20,2020-09-13,1,1,7,7,Beyond Best,Beyond Best,,,,,CH,C,,Y,,,,Curlin,Curlin,Value Stream,Value Stream,,,,,,,,,,"Lane's End, Agent ",,,,"West Bldstk,Agt for Repole Stables&St Elias Stable",,,,400000,,,,,T,
2020,Y,KEESEPT20,2020-09-13,1,1,8,8,Classic Moment,Classic Moment,,,,,DB/BR,C,,Y,,,,Classic Empire,Classic Empire,Victory Party,Victory Party,,,,,,,,,,"Eaton Sales, Agent ",,,,Winchell Thoroughbreds LLC,,,,350000,,,,,T,
2020,Y,KEESEPT20,2020-09-13,1,1,9,9,Chileno,Chileno,,,,,CH,C,,Y,,,,Gun Runner,Gun Runner,Wapi (CHI),Wapi (CHI),,,,,,,,,,"Denali Stud, Agent LX ",,,,Winchell Thoroughbreds LLC,,,,375000,,,,,T,
2020,Y,KEESEPT20,2020-09-13,1,1,10,10,Corniche,Corniche,,,,,B,C,,Y,,,,Quality Road,Quality Road,Wasted Tears,Wasted Tears,,,,,,,,,,"Stonehaven Steadings, Agent for Bart Evans and Stonehaven Steadings",,,,"R.N.A. (385,000)",,,,,,,,,T,
2020,Y,KEESEPT20,2020-09-13,1,1,11,11,War Classic,War Classic,,,,,B,F,,Y,,,,War Front,War Front,Weep No More,Weep No More,,,,,,,,,,"Lane's End, Agent ",,,,Courtlandt Farm,,,,400000,,,,,T,
2020,Y,KEESEPT20,2020-09-13,1,1,12,12,War Room,War Room,,,,,B,C,,Y,,,,Constitution,Constitution,Whisper Number,Whisper Number,,,,,,,,,,"Taylor Made Sales Agency, Agent CCIII ",,,,"R.N.A. (370,000)",,,,,,,,,T,
2020,Y,KEESEPT20,2020-09-13,1,1,13,13,Frippet,Frippet,,,,,B,F,,Y,,,,Ghostzapper,Ghostzapper,White Clover,White Clover,,,,,,,,,,"Lane's End, Agent ",,,,"Mike Ryan, Agent",,,,100000,,,,,T,
2020,Y,KEESEPT20,2020-09-13,1,1,14,14,Wiz Village Karen,Wiz Village Karen,,,,,DB/BR,F,,Y,,,,Curlin,Curlin,Wild Mint,Wild Mint,,,,,,,,,,KatieRich Farms ,,,,"R.N.A. (85,000)",,,,,,,,,T,
2020,Y,KEESEPT20,2020-09-13,1,1,15,15,Steady On,Steady On,,,,,DB/BR,C,,Y,,,,Pioneerof the Nile,Pioneerof the Nile,Wile Cat,Wile Cat,,,,,,,,,,"Eaton Sales, Agent ",,,,"West Bldstk,Agt for Repole Stables&St Elias Stable",,,,275000,,,,,T,
2020,Y,KEESEPT20,2020-09-13,1,1,16,16,Boussac,Boussac,,,,,B,C,,Y,,,,American Pharoah,American Pharoah,Willet,Willet,,,,,,,,,,"Taylor Made Sales Agency, Agent CXLIII ",,,,"R.N.A. (325,000)",,,,,,,,,T,
2020,Y,KEESEPT20,2020-09-13,1,1,17,17,Smokin' T,Smokin' T,,,,,B,C,,Y,,,,War Front,War Front,Wine Princess,Wine Princess,,,,,,,,,,"Denali Stud, Agent XXVI ",,,,"R.N.A. (295,000)",,,,,,,,,T,
2020,Y,KEESEPT20,2020-09-13,1,1,18,18,Practical Way,Practical Way,,,,,B,C,,Y,,,,Practical Joke,Practical Joke,Yawkey Way,Yawkey Way,,,,,,,,,,"Taylor Made Sales Agency, Agent LXIX ",,,,Out,,,,0,,,,,T,
