SALEYEAR,SALETYPE,SALECODE,SALEDATE,BOOK,DAY,HIP,HIPNUM,HORSE,CHORSE,RATING,TATTOO,DATEFOAL,AGE,COLOR,SEX,GAIT,TYPE,RECORD,ET,ELIG,SIRE,CSIRE,DAM,CDAM,SIREOFDAM,CSIREOFDAM,DAMOFDAM,CDAMOFDAM,DAMTATT,DAMYOF,DDAMTATT,BREDTO,LASTBRED,CONLNAME,CONSNO,PEMCODE,PURFNAME,PURLNAME,SBCITY,SBSTATE,SBCOUNTRY,PRICE,CURRENCY,URL,NFFM,PRIVATESALE,BREED,YEARFOAL
2022.0,Y,KEESEPT22,2022-09-12,1,1,1,1,Concord Bridge,Concord Bridge,,,,,B,C,,Y,,,,Medaglia d'Oro,Medaglia d'Oro,Pauline Revere,Pauline Revere,,,,,,,,,,"Lane's End, Agent ",,,,Talla Racing & West Point Thoroughbreds,,,,850000,,,,,T,
2022.0,Y,KEESEPT22,2022-09-12,1,1,2,2,Uncoachable,Uncoachable,,,,,B,C,,Y,,,,Into Mischief,Into Mischief,Peggy Jane,Peggy Jane,,,,,,,,,,"Summerfield (Francis and Barbara Vanlangendonck), Agent for Stonestreet Bred & Raised",,,,Out,,,,0,,,,,T,
2022.0,Y,KEESEPT22,2022-09-12,1,1,3,3,,,,,,,CH,F,,Y,,,,Tapit,Tapit,Pension,Pension,,,,,,,,,,"Gainesway, Agent X ",,,,"Steven W. Young, Agent",,,,650000,,,,,T,
2022.0,Y,KEESEPT22,2022-09-12,1,1,4,4,Paparazzo,Paparazzo,,,,,B,C,,Y,,,,American Pharoah,American Pharoah,Photographer,Photographer,,,,,,,,,,Dixiana Farms LLC ,,,,"Quarter Pole Enterprises, LLC",,,,200000,,,,,T,
2022.0,Y,KEESEPT22,2022-09-12,1,1,5,5,Blood Brother,Blood Brother,,,,,B,C,,Y,,,,Quality Road,Quality Road,Pine Needles,Pine Needles,,,,,,,,,,"Taylor Made Sales Agency, Agent LXI ",,,,Calumet Farm,,,,100000,,,,,T,
2022.0,Y,KEESEPT22,2022-09-12,1,1,6,6,Genetics,Genetics,,,,,CH,F,,Y,,,,Tapit,Tapit,Points of Grace,Points of Grace,,,,,,,,,,"Gainesway, Agent IX ",,,,Glassman Racing LLC,,,,525000,,,,,T,
2022.0,Y,KEESEPT22,2022-09-12,1,1,7,7,Prospero (IRE),Prospero (IRE),,,,,CH,C,,Y,,,,No Nay Never,No Nay Never,Posset (GB),Posset (GB),,,,,,,,,,"Glennwood Farm Inc., Agent ",,,,"R.N.A. (240,000)",,,,,,,,,T,
2022.0,Y,KEESEPT22,2022-09-12,1,1,8,8,Quality Dance,Quality Dance,,,,,B,F,,Y,,,,Quality Road,Quality Road,Princesa Silvia,Princesa Silvia,,,,,,,,,,"Gainesway, Agent XLVIII ",,,,"Claiborne Farm, Agent",,,,1200000,,,,,T,
2022.0,Y,KEESEPT22,2022-09-12,1,1,9,9,Wine On Tap,Wine On Tap,,,,,GR/RO,F,,Y,,,,Tapit,Tapit,Princess La Quinta,Princess La Quinta,,,,,,,,,,"Taylor Made Sales Agency, Agent for Aaron & Marie Jones LLC ",,,,Alistair Roden Bloodstock,,,,600000,,,,,T,
2022.0,Y,KEESEPT22,2022-09-12,1,1,10,10,Market Street,Market Street,,,,,B,C,,Y,,,,Street Sense,Street Sense,Quality Way,Quality Way,,,,,,,,,,"Taylor Made Sales Agency, Agent VI ",,,,Les Wagner,,,,275000,,,,,T,
