SALEYEAR,SALETYPE,SALECODE,SALEDATE,BOOK,DAY,HIP,HIPNUM,HORSE,CHORSE,RATING,TATTOO,DATEFOAL,AGE,COLOR,SEX,GAIT,TYPE,RECORD,ET,ELIG,SIRE,CSIRE,DAM,CDAM,SIREOFDAM,CSIREOFDAM,DAMOFDAM,CDAMOFDAM,DAMTATT,DAMYOF,DDAMTATT,BREDTO,LASTBRED,CONLNAME,CONSNO,PEMCODE,PURFNAME,PURLNAME,SBCITY,SBSTATE,SBCOUNTRY,PRICE,CURRENCY,URL,NFFM,PRIVATESALE,BREED,YEARFOAL
2022.0,Y,KEEJAN22,2022-01-10,1,1,1,1,Smart Kitten,Smart Kitten,,,2020-04-30,3,DB/BR,F,,BRP,,,,Kitten's Joy,Kitten's Joy,Yaabalady,Yaabalady,,,,,,,,,,"Bluewater Sales LLC, Agent V ",,,,Out,,,,0,,,,,T,2020
2022.0,Y,KEEJAN22,2022-01-10,1,1,2,2,Ya Beauty (GB),Ya Beauty (GB),,,2017-04-13,6,B,M,,BRP,,,,Muhaarar (GB),Muhaarar (GB),Long Face,Long Face,,,,,,,,,,"Vinery Sales, Agent XXXII ",,,,Out,,,,0,,,,,T,2017
2022.0,Y,KEEJAN22,2022-01-10,1,1,3,3,Practical Royalty,Practical Royalty,,,2021-04-14,2,B,F,,Y,,,,Practical Joke,Practical Joke,Yanquee Reign,Yanquee Reign,,,,,,,,,,"Taylor Made Sales Agency, Agent LVIII ",,,,Rick Davis,,,,40000,,,,,T,2021
2022.0,Y,KEEJAN22,2022-01-10,1,1,4,4,Vino for the Queen,Vino for the Queen,,,2021-03-06,2,CH,F,,Y,,,,Vino Rosso,Vino Rosso,Yass Queen,Yass Queen,,,,,,,,,,"Taylor Made Sales Agency, Agent XXI ",,,,Out,,,,0,,,,,T,2021
2022.0,Y,KEEJAN22,2022-01-10,1,1,5,5,Ylikedis,Ylikedis,,,2017-03-23,6,B,M,,BRP,,,,Street Sense,Street Sense,Andina (IRE),Andina (IRE),,,,,,,,,,"Taylor Made Sales Agency, Agent LVIII ",,,,Out,,,,0,,,,,T,2017
2022.0,Y,KEEJAN22,2022-01-10,1,1,6,6,You Cheated,You Cheated,,,2013-02-14,10,B,M,,B,,,,Colonel John,Colonel John,Zipper Zapper,Zipper Zapper,,,,,,,,,,"Hartwell Farm, Agent I ",,,,Glen Robertson,,,,12000,,,,,T,2013
2022.0,Y,KEEJAN22,2022-01-10,1,1,7,7,Lucchesi,Lucchesi,,,2021-04-13,2,DB/BR,C,,Y,,,,More Than Ready,More Than Ready,A. A. Azula's Arch,A. A. Azula's Arch,,,,,,,,,,"Taylor Made Sales Agency, Agent for A & A Farms ",,,,Out,,,,0,,,,,T,2021
2022.0,Y,KEEJAN22,2022-01-10,1,1,8,8,A Bit of Both,A Bit of Both,,,2016-02-16,7,B,M,,BRP,,,,Paynter,Paynter,Lizzie K,Lizzie K,,,,,,,,,,"ELiTE, Agent ",,,,"Sean S.Perl, Agent",,,,40000,,,,,T,2016
2022.0,Y,KEEJAN22,2022-01-10,1,1,9,9,Hoya,Hoya,,,2021-05-16,2,B,C,,Y,,,,Kitten's Joy,Kitten's Joy,Adorable You,Adorable You,,,,,,,,,,"Hill 'n' Dale Sales Agency, Agent ",,,,Out,,,,0,,,,,T,2021
2022.0,Y,KEEJAN22,2022-01-10,1,1,10,10,Affirmation,Affirmation,,,2017-04-16,6,DB/BR,M,,B,,,,Astrology,Astrology,Goldfield,Goldfield,,,,,,,,,,"ELiTE, Agent ",,,,Out,,,,0,,,,,T,2017
