SALEYEAR,SALETYPE,SALECODE,SALEDATE,BOOK,DAY,HIP,HIPNUM,HORSE,CHORSE,RATING,TATTOO,DATEFOAL,AGE,COLOR,SEX,GAIT,TYPE,RECORD,ET,ELIG,SIRE,CSIRE,DAM,CDAM,SIREOFDAM,CSIREOFDAM,DAMOFDAM,CDAMOFDAM,DAMTATT,DAMYOF,DDAMTATT,BREDTO,LASTBRED,CONLNAME,CONSNO,PEMCODE,PURFNAME,PURLNAME,SBCITY,SBSTATE,SBCOUNTRY,PRICE,CURRENCY,URL,NFFM,PRIVATE SALE,BREED,YEARFOAL
2023,Y,23FTSARMIX,2023-10-17,1,1,326,326,,,,,2023-05-10,0,GRR,C,,W,,,NY,GALILEAN,GALILEAN,ULTIMATE SHOPPER,ULTIMATE SHOPPER,YES IT'S TRUE,YES IT'S TRUE,,,,,,HIDDEN LAKE FARM LLC,,HIDDEN LAKE FARM LLC AGENT,,,,4 X 4 RACING STABLE,,,,11500,,,,,T,2023
2023,Y,23FTSARMIX,2023-10-17,1,1,327,327,UNIQUELY MINE,UNIQUELY MINE,,,2017-02-16,6,B,M,,B,,,KY,MINESHAFT,MINESHAFT,SANDTINA,SANDTINA,SANDPIT (BRZ),SANDPIT (BRZ),,,,,,VINERY SALES,,VINERY SALES AGENT XXIV,,,,NOT SOLD,,,,3000,,,,,T,2017
2023,Y,23FTSARMIX,2023-10-17,1,1,328,328,,,,,2023-02-13,0,CH,C,,W,,,NY,LOOKIN AT LEE,LOOKIN AT LEE,UNTAKEN,UNTAKEN,NOONMARK,NOONMARK,,,,,,TURNING POINT BLOODSTOCK,,TURNING POINT BLOODSTOCK AGENT,,,,CELTIC MAGIC THOROUGHBREDS,,,,2500,,https://vimeo.com/874553533?share=copy,,,T,2023
2023,Y,23FTSARMIX,2023-10-17,1,1,329,329,,,,,2023-02-23,0,DKB,F,,W,,,NY,INDEPENDENCE HALL,INDEPENDENCE HALL,VALENTINE'S PEARL,VALENTINE'S PEARL,SPEIGHTSTOWN,SPEIGHTSTOWN,,,,,,VINERY SALES,,VINERY SALES AGENT FOR WINDHORSE THOROUGHBREDS LLC,,,,NOT SOLD,,,,24000,,https://vimeo.com/872926011?share=copy,,,T,2023
2023,Y,23FTSARMIX,2023-10-17,1,1,330,330,,,,,2023-04-27,0,DKB,F,,W,,,NY,HONEST MISCHIEF,HONEST MISCHIEF,WALTON PLACE,WALTON PLACE,UNBRIDLED'S SONG,UNBRIDLED'S SONG,,,,,,SARATOGA GLEN FARM LLC,,SARATOGA GLEN FARM AGENT,,,,OUT,,,,0,,,,,T,2023
2023,Y,23FTSARMIX,2023-10-17,1,1,331,331,,,,,2023-02-07,0,DKB,F,,W,,,NY,MO TOWN,MO TOWN,WARM SHOWER,WARM SHOWER,DYNAFORMER,DYNAFORMER,,,,,,HIDDEN LAKE FARM LLC,,HIDDEN LAKE FARM LLC AGENT,,,,NOT SOLD,,,,1000,,,,,T,2023
2023,Y,23FTSARMIX,2023-10-17,1,1,332,332,,,,,2023-01-30,0,B,C,,W,,,NY,COAL FRONT,COAL FRONT,WAY BACK HOME,WAY BACK HOME,TAKE CHARGE INDY,TAKE CHARGE INDY,,,,,,VINERY SALES,,VINERY SALES AGENT XLII,,,,OUT,,,,0,,,,,T,2023
2023,Y,23FTSARMIX,2023-10-17,1,1,333,333,,,,,2023-04-29,0,B,F,,W,,,NY,GALILEAN,GALILEAN,WEST COAST GIRL,WEST COAST GIRL,MEDAGLIA D'ORO,MEDAGLIA D'ORO,,,,,,HIDDEN LAKE FARM LLC,,HIDDEN LAKE FARM LLC AGENT,,,,AMBER ACORD,,,,1000,,,,,T,2023
2023,Y,23FTSARMIX,2023-10-17,1,1,334,334,,,,,2023-04-02,0,B,F,,W,,,NY,UPSTART,UPSTART,WHITE SANGRIA,WHITE SANGRIA,GIANT'S CAUSEWAY,GIANT'S CAUSEWAY,,,,,,VINERY SALES,,VINERY SALES AGENT XI,,,,OUT,,,,0,,,,,T,2023
2023,Y,23FTSARMIX,2023-10-17,1,1,335,335,,,,,2023-04-27,0,B,F,,W,,,NY,GALILEAN,GALILEAN,WHITE WEDDING DAY,WHITE WEDDING DAY,CRIMSON GUARD,CRIMSON GUARD,,,,,,VINERY SALES,,VINERY SALES AGENT LVI,,,,OUT,,,,0,,,,,T,2023
2023,Y,23FTSARMIX,2023-10-17,1,1,336,336,,,,,2023-05-10,0,CH,C,,W,,,NY,LEXITONIAN,LEXITONIAN,WILDNEXCITABLE,WILDNEXCITABLE,VICAR,VICAR,,,,,,STUART MORRIS,,STUART MORRIS AGENT IV,,,,EZEQUIEL MEDINA,,,,15000,,https://www.youtube.com/watch?v=ww380UXh1fU&list=PLQwjqm7md6-yImLFwX6oVAgjLCkHikRU4&index=15,,,T,2023
2023,Y,23FTSARMIX,2023-10-17,1,1,337,337,,,,,2023-02-26,0,B,F,,W,,,NY,INSTAGRAND,INSTAGRAND,WITHOUT THOUGHT,WITHOUT THOUGHT,SMART STRIKE,SMART STRIKE,,,,,,VINERY SALES,,VINERY SALES AGENT XI,,,,OUT,,,,0,,,,,T,2023
