SALEYEAR,SALETYPE,SALECODE,SALEDATE,BOOK,DAY,HIP,HIPNUM,HORSE,CHORSE,RATING,TATTOO,DATEFOAL,AGE,COLOR,SEX,GAIT,TYPE,RECORD,ET,ELIG,SIRE,CSIRE,DAM,CDAM,SIREOFDAM,CSIREOFDAM,DAMOFDAM,CDAMOFDAM,DAMTATT,DAMYOF,DDAMTATT,BREDTO,LASTBRED,CONLNAME,CONSNO,PEMCODE,PURFNAME,PURLNAME,SBCITY,SBSTATE,SBCOUNTRY,PRICE,CURRENCY,URL,NFFM,PRIVATESALE,BREED,YEARFOAL
2019,Y,KEESEPT19,2019-09-14,2,5,1170,1170,Gigi B.,Gigi B.,,,,,B,F,,Y,,,,Street Sense,Street Sense,Forever Loyal,Forever Loyal,,,,,,,,,,"Ashview Farm (Bryan Lyster & Gray Lyster), Agent ",,,,"Bradley Thoroughbreds, Agent",,,,190000,,,,,T,
2019,Y,KEESEPT19,2019-09-14,2,5,1171,1171,Martial Law,Martial Law,,,,,B,C,,Y,,,,Elusive Quality,Elusive Quality,Fortune Queen,Fortune Queen,,,,,,,,,,"Bluegrass Thoroughbred Services Inc., Agent XVI ",,,,Richard Reed,,,,20000,,,,,T,
2019,Y,KEESEPT19,2019-09-14,2,5,1172,1172,There Goes Dolly,There Goes Dolly,,,,,CH,F,,Y,,,,Distorted Humor,Distorted Humor,Frivolity,Frivolity,,,,,,,,,,"Woodford Thoroughbreds, Agent XIII ",,,,"Don Robinson, Agent",,,,270000,,,,,T,
2019,Y,KEESEPT19,2019-09-14,2,5,1173,1173,Night Frolic,Night Frolic,,,,,B,C,,Y,,,,Into Mischief,Into Mischief,Frolic's Revenge,Frolic's Revenge,,,,,,,,,,"Woodford Thoroughbreds, Agent I ",,,,Katsumi Yoshida,,,,300000,,,,,T,
2019,Y,KEESEPT19,2019-09-14,2,5,1174,1174,Voy a Ti,Voy a Ti,,,,,DB/BR,C,,Y,,,,Union Rags,Union Rags,Front in Line,Front in Line,,,,,,,,,,"VanMeter-Gentry Sales, Agent XXX ",,,,"Meah/Lloyd Bloodstock, Agent for BG Stables",,,,65000,,,,,T,
2019,Y,KEESEPT19,2019-09-14,2,5,1175,1175,Princess Lucy,Princess Lucy,,,,,B,F,,Y,,,,Street Sense,Street Sense,Frost Fire,Frost Fire,,,,,,,,,,"Four Star Sales, Agent ",,,,Tracy Farmer,,,,220000,,,,,T,
2019,Y,KEESEPT19,2019-09-14,2,5,1176,1176,Priano,Priano,,,,,B,C,,Y,,,,Tiznow,Tiznow,Garage Kept,Garage Kept,,,,,,,,,,"St. George Sales, Agent VI ",,,,Out,,,,0,,,,,T,
2019,Y,KEESEPT19,2019-09-14,2,5,1177,1177,Bye Bye,Bye Bye,,,,,B,F,,Y,,,,Into Mischief,Into Mischief,Garnet,Garnet,,,,,,,,,,"Vinery Sales, Agent for Malibu Farm ",,,,Kinsman,,,,140000,,,,,T,
2019,Y,KEESEPT19,2019-09-14,2,5,1178,1178,Pams Crystal Candy,Pams Crystal Candy,,,,,B,F,,Y,,,,Candy Ride (ARG),Candy Ride (ARG),Garnet Crystals,Garnet Crystals,,,,,,,,,,"James B. Keogh (Grovendale), Agent XII ",,,,Oakmont,,,,80000,,,,,T,
2019,Y,KEESEPT19,2019-09-14,2,5,1179,1179,Emphasize,Emphasize,,,,,B,C,,Y,,,,Exaggerator,Exaggerator,Gem Sleuth,Gem Sleuth,,,,,,,,,,"Paramount Sales, Agent XCIV ",,,,de Meric Sales,,,,150000,,,,,T,
2019,Y,KEESEPT19,2019-09-14,2,5,1180,1180,Stone Slinger,Stone Slinger,,,,,B,C,,Y,,,,American Pharoah,American Pharoah,Ghost Dancer,Ghost Dancer,,,,,,,,,,"Paramount Sales, Agent CVII ",,,,"R.N.A. (240,000)",,,,,,,,,T,
2019,Y,KEESEPT19,2019-09-14,2,5,1181,1181,Ghost Stalker,Ghost Stalker,,,,,DB/BR,C,,Y,,,,Exaggerator,Exaggerator,Ghost Flower,Ghost Flower,,,,,,,,,,"South Point Sales Agency, Agent X ",,,,"SGV Thoroughbreds, LLC",,,,105000,,,,,T,
2019,Y,KEESEPT19,2019-09-14,2,5,1182,1182,Star Sailor,Star Sailor,,,,,CH,C,,Y,,,,Union Rags,Union Rags,Gifted Girl (IRE),Gifted Girl (IRE),,,,,,,,,,Mt. Brilliant Farm ,,,,Martin Anthony,,,,275000,,,,,T,
2019,Y,KEESEPT19,2019-09-14,2,5,1183,1183,Ethical Judgement,Ethical Judgement,,,,,B,C,,Y,,,,Honor Code,Honor Code,Give My Regards,Give My Regards,,,,,,,,,,"Burleson Farms, Agent ",,,,Phoenix Thoroughbreds III,,,,170000,,,,,T,
2019,Y,KEESEPT19,2019-09-14,2,5,1184,1184,Natalie Would,Natalie Would,,,,,B,F,,Y,,,,Into Mischief,Into Mischief,Global Hottie,Global Hottie,,,,,,,,,,"Taylor Made Sales Agency, Agent CLIII ",,,,"Hoby Kight, Agent",,,,150000,,,,,T,
