SALEYEAR,SALETYPE,SALECODE,SALEDATE,BOOK,DAY,HIP,HIPNUM,HORSE,CHORSE,RATING,TATTOO,DATEFOAL,AGE,COLOR,SEX,GAIT,TYPE,RECORD,ET,ELIG,SIRE,CSIRE,DAM,CDAM,SIREOFDAM,CSIREOFDAM,DAMOFDAM,CDAMOFDAM,DAMTATT,DAMYOF,DDAMTATT,BREDTO,LASTBRED,CONLNAME,CONSNO,PEMCODE,PURFNAME,PURLNAME,SBCITY,SBSTATE,SBCOUNTRY,PRICE,CURRENCY,URL,NFFM,PRIVATESALE,BREED,YEARFOAL
2019,Y,KEENOV19,2019-11-15,6,10,3760,3760,True Believer,True Believer,,,2007-03-17,16,B,M,,B,,,,Smart Strike,Smart Strike,Blue Hills,Blue Hills,,,,,,,,,,"James B. Keogh (Grovendale), Agent VIII ",,,,Travis Boersma,,,,20000,,,,,T,2007
2019,Y,KEENOV19,2019-11-15,6,10,3761,3761,Trumptastic,Trumptastic,,,2019-02-20,4,GR/RO,C,,W,,,,Race Day,Race Day,Twenty in One,Twenty in One,,,,,,,,,,"Alliance Sales Agency, Agent ",,,,Triple T. Ranch,,,,47000,,,,,T,2019
2019,Y,KEENOV19,2019-11-15,6,10,3762,3762,Twilite Rendezvous,Twilite Rendezvous,,,2007-03-19,16,CH,M,,B,,,,Mr. Greeley,Mr. Greeley,Twilight Encounter,Twilight Encounter,,,,,,,,,,"Lane's End, Agent ",,,,Richard Barton Ent.,,,,16000,,,,,T,2007
2019,Y,KEENOV19,2019-11-15,6,10,3763,3763,Twirl Me,Twirl Me,,,2013-03-28,10,B,M,,B,,,,Hard Spun,Hard Spun,Mambo Princess,Mambo Princess,,,,,,,,,,"Legacy Bloodstock, Agent I ",,,,"Hacienda Los Nietos, Inc.",,,,5500,,,,,T,2013
2019,Y,KEENOV19,2019-11-15,6,10,3764,3764,Ultimate Temper,Ultimate Temper,,,2010-01-27,13,B,M,,B,,,,Successful Appeal,Successful Appeal,Star Attraction,Star Attraction,,,,,,,,,,"Ballysax Bloodstock, Agent XLVIII ",,,,Fernandez Rafael,,,,2500,,,,,T,2010
2019,Y,KEENOV19,2019-11-15,6,10,3765,3765,Ultra Tech,Ultra Tech,,,2002-05-22,21,CH,M,,B,,,,Maria's Mon,Maria's Mon,Peace Tech,Peace Tech,,,,,,,,,,"Darby Dan Farm, Agent V ",,,,"K Bar K Enterprises, Inc",,,,2700,,,,,T,2002
2019,Y,KEENOV19,2019-11-15,6,10,3766,3766,Upandtotheright,Upandtotheright,,,2016-03-09,7,GR/RO,M,,B,,,,Creative Cause,Creative Cause,Comfort Zone,Comfort Zone,,,,,,,,,,"Lane's End, Agent ",,,,Hill 'n' Dale at Xalapa,,,,77000,,,,,T,2016
2019,Y,KEENOV19,2019-11-15,6,10,3767,3767,La Palina,La Palina,,,2019-03-22,4,DB/BR,F,,W,,,,Overanalyze,Overanalyze,Upstager,Upstager,,,,,,,,,,"Taylor Made Sales Agency, Agent XLVIII ",,,,Crystal Meadows Farm,,,,3500,,,,,T,2019
2019,Y,KEENOV19,2019-11-15,6,10,3768,3768,Up to Speed,Up to Speed,,,2012-02-12,11,B,M,,B,,,,Papa Clem,Papa Clem,Speed Dialer,Speed Dialer,,,,,,,,,,"Fort Christopher's Thoroughbreds LLC, Agent I ",,,,Kevin McKay,,,,20000,,,,,T,2012
2019,Y,KEENOV19,2019-11-15,6,10,3769,3769,Little Baby Girl,Little Baby Girl,,,2019-04-29,4,B,F,,W,,,,Oxbow,Oxbow,Vuemont,Vuemont,,,,,,,,,,"Garrencasey Sales LLC, Agent VII ",,,,R.N.A. (0),,,,,,,,,T,2019
